"region","indicator","Unit","Date","Value"
"Abia","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","30.4"
"Adamawa","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","64.5"
"Akwa Ibom","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","35.5"
"Anambra","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","30.2"
"Bauchi","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","65"
"Bayelsa","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","29.9"
"Benue","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","61.4"
"Borno","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","42.7"
"Cross River","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","43.7"
"Delta","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","42.4"
"Ebonyi","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","71.2"
"Edo","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","43.5"
"Ekiti","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","40.2"
"Enugu","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","47.7"
"Gombe","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","73.8"
"Imo","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","28.4"
"Jigawa","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","77.4"
"Kaduna","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","45.5"
"Kano","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","56.5"
"Katsina","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","57"
"Kebbi","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","50.4"
"Kogi","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","54.2"
"Kwara","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","51.8"
"Lagos","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","23"
"Nassarawa","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","55.5"
"Niger","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","29"
"Ogun","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","40.2"
"Ondo","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","40.5"
"Osun","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","23.6"
"Oyo","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","30.5"
"Plateau","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","54.1"
"Rivers","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","30.3"
"Sokoto","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","71.8"
"Taraba","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","47.7"
"Yobe","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","68.7"
"Zamfara","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","50.8"
"FCT","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","31"
"National","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","46"
"Rural","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","52.8"
"Urban","Revised Absolute Poverty 2009/10 (Adult Equivalent Methodology)","","2010","34.1"
